City,Country,McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Water (1.5 liter bottle),Cappuccino (regular),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Average Monthly Net Salary (After Tax),Cost of Living Index,Purchasing Power Index,Safety Index,Health Care Index,Pollution Index,AvgTemperature,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Lat,Long,Population,Overall Score,Employment,Startup,Tourism,Housing,Transport,Health,Food,Internet Speed,Apple Store,Access to Contraception,Gender Equality,Immigration Tolerance,LGBT Friendly,Nightscene,Beer,Festival
Elkins,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,38.9237,-79.854,10899.0,,,,,,,,,,,,,,,,,
Eugene,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,44.0563,-123.1173,273439.0,,,,,,,,,,,,,,,,,
Fairbanks,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,64.8353,-147.6534,63245.0,,,,,,,,,,,,,,,,,
Fargo,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,46.8652,-96.8292,208675.0,,,,,,,,,,,,,,,,,
Flint,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,43.0235,-83.6922,332190.0,,,,,,,,,,,,,,,,,
Fort Smith,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,35.3493,-94.3695,125354.0,,,,,,,,,,,,,,,,,
Fort Wayne,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,41.0886,-85.1437,334122.0,,,,,,,,,,,,,,,,,
Grand Junction,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,39.0876,-108.5673,139143.0,,,,,,,,,,,,,,,,,
Green Bay,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,44.515,-87.9896,207557.0,,,,,,,,,,,,,,,,,
Greensboro,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,36.0956,-79.8269,343090.0,,,,,,,,,,,,,,,,,
Juneau,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,58.4546,-134.1739,25085.0,,,,,,,,,,,,,,,,,
Lake Charles,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,30.2012,-93.2122,156181.0,,,,,,,,,,,,,,,,,
Little Rock,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,34.7256,-92.3576,439815.0,,,,,,,,,,,,,,,,,
Lubbock,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,33.5659,-101.8878,267648.0,,,,,,,,,,,,,,,,,
Macon,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,32.8065,-83.6974,153159.0,,,,,,,,,,,,,,,,,
Miami Beach,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,25.8171,-80.1396,88885.0,,,,,,,,,,,,,,,,,
St. Paul,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,44.9477,-93.104,308096.0,,,,,,,,,,,,,,,,,
Mobile,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,30.6783,-88.1162,315502.0,,,,,,,,,,,,,,,,,
New Orleans,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,30.0687,-89.9288,1020886.0,,,,,,,,,,,,,,,,,
North Platte,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,41.1266,-100.764,24098.0,,,,,,,,,,,,,,,,,
Oklahoma City,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,35.4676,-97.5136,972943.0,,,,,,,,,,,,,,,,,
Omaha,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,41.2627,-96.0522,847819.0,,,,,,,,,,,,,,,,,
Paducah,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,37.0711,-88.6436,48481.0,,,,,,,,,,,,,,,,,
Pocatello,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,42.8724,-112.4646,72878.0,,,,,,,,,,,,,,,,,
Pueblo,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,38.2705,-104.6112,143932.0,,,,,,,,,,,,,,,,,
Rapid City,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,44.0716,-103.2204,92664.0,,,,,,,,,,,,,,,,,
San Angelo,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,31.4424,-100.4506,100773.0,,,,,,,,,,,,,,,,,
Sault Ste. Marie,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,46.4817,-84.3723,12442.0,,,,,,,,,,,,,,,,,
Shreveport,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,32.4656,-93.7956,280062.0,,,,,,,,,,,,,,,,,
Sioux City,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,42.4959,-96.3901,106455.0,,,,,,,,,,,,,,,,,
Sioux Falls,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,43.5397,-96.732,187239.0,,,,,,,,,,,,,,,,,
South Bend,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,41.6767,-86.2696,280498.0,,,,,,,,,,,,,,,,,
Tallahassee,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,30.4551,-84.2526,257601.0,,,,,,,,,,,,,,,,,
St. Petersburg,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,27.7931,-82.6652,265351.0,,,,,,,,,,,,,,,,,
Toledo,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,41.6639,-83.5822,482111.0,,,,,,,,,,,,,,,,,
Topeka,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,39.0346,-95.6955,147458.0,,,,,,,,,,,,,,,,,
Tulsa,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,36.1284,-95.9042,671033.0,,,,,,,,,,,,,,,,,
Tupelo,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,34.2692,-88.7318,45466.0,,,,,,,,,,,,,,,,,
Waco,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,31.5598,-97.1881,192315.0,,,,,,,,,,,,,,,,,
West Palm Beach,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,26.7468,-80.1316,111955.0,,,,,,,,,,,,,,,,,
Wichita,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,37.6896,-97.3442,482249.0,,,,,,,,,,,,,,,,,
Wichita Falls,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,33.9072,-98.5291,99557.0,,,,,,,,,,,,,,,,,
Wilkes-Barre,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,41.2468,-75.8759,40766.0,,,,,,,,,,,,,,,,,
Yakima,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,46.5923,-120.5496,133191.0,,,,,,,,,,,,,,,,,
Youngstown,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,41.0993,-80.6463,378732.0,,,,,,,,,,,,,,,,,
Kampala,Uganda,,,,,,,,,,,,,,,,1.0,7.500389576,0.764994621,55.70820236,0.731713951,0.099487431,0.836737812,0.3136,32.5811,1659600.0,,,,,,,,,,,,,,,,,
Lille,France,,,,,,,,,,,,,,,,,10.58422279,0.937103748,73.80193329,0.825467646,-0.130641967,0.583521128,50.6278,3.0583,232787.0,100.1,1.1,7.5,4.6,6.0,9.2,10.0,5.2,5.3,9.9,8.5,7.6,3.0,3.7,7.6,2.2,8.7
Nantes,France,,,,,,,,,,,,,,,,,10.58422279,0.937103748,73.80193329,0.825467646,-0.130641967,0.583521128,47.2181,-1.5528,633690.0,96.5,3.0,5.8,2.4,6.4,5.6,10.0,6.1,8.4,4.3,8.5,7.6,3.0,5.8,7.6,2.6,9.4
Marseille,France,,,,,,,,,,,,,,,,,10.58422279,0.937103748,73.80193329,0.825467646,-0.130641967,0.583521128,43.2964,5.37,870018.0,91.8,1.5,2.8,5.0,6.2,4.6,10.0,5.6,9.6,6.8,8.5,7.6,3.0,6.2,6.0,2.4,6.0
Montpellier,France,,,,,,,,,,,,,,,,,10.58422279,0.937103748,73.80193329,0.825467646,-0.130641967,0.583521128,43.6119,3.8772,607896.0,89.7,1.2,4.6,3.1,5.7,6.4,10.0,1.9,7.8,9.5,8.5,7.6,3.0,2.1,7.6,2.3,8.4
Groningen,Netherlands,,,,,,,,,,,,,,,,,10.81271172,0.93913883,72.30091858,0.908547819,0.20761244,0.364717126,53.2204,6.58,216688.0,85.6,2.7,1.1,0.1,5.8,0.1,7.0,6.0,9.4,4.3,5.6,8.0,8.0,8.9,4.0,5.3,9.3
Seville,Spain,,,,,,,,,,,,,,,,,10.46292686,0.921125412,74.40270996,0.751989543,-0.050961714,0.765859902,41.0208,-81.8671,7812.0,82.5,0.1,1.5,7.2,8.7,3.2,8.3,8.4,1.5,4.3,2.2,6.0,7.6,5.2,7.0,7.9,3.4
Granada,Spain,,,,,,,,,,,,,,,,,10.46292686,0.921125412,74.40270996,0.751989543,-0.050961714,0.765859902,37.1781,-3.6008,232462.0,82.1,0.3,0.3,5.5,9.4,2.2,8.3,8.1,1.9,4.3,2.2,6.0,7.6,2.3,7.0,8.1,8.6
Toulouse,France,,,,,,,,,,,,,,,,,10.58422279,0.937103748,73.80193329,0.825467646,-0.130641967,0.583521128,43.6045,1.444,968638.0,81.2,2.1,3.7,4.1,6.1,8.6,10.0,2.6,5.0,4.3,8.5,7.6,3.0,6.3,7.6,1.6,0.1
Brugge,Belgium,,,,,,,,,,,,,,,,,10.6736393,0.911632538,72.00164795,0.813582063,-0.078691199,0.612297952,51.2089,3.2242,118053.0,80.3,9.7,0.5,2.6,5.3,0.2,5.5,4.4,9.9,4.3,7.2,6.5,6.6,1.9,0.3,5.4,10.0
Innsbruck,Austria,,,,,,,,,,,,,,,,,10.7428236,0.928045869,73.00250244,0.899989486,0.085429221,0.499954879,47.2683,11.3933,132493.0,77.0,9.3,1.7,1.3,5.5,3.1,8.0,4.8,6.4,4.3,4.4,2.8,6.4,2.2,3.0,6.7,7.1
Venice,Italy,,,,,,,,,,,,,,,,,10.48183632,0.889878571,73.60168457,0.66465199,-0.043460999,0.873404682,45.4397,12.3319,261905.0,67.9,1.8,1.8,8.2,7.9,1.8,9.0,5.1,2.9,4.3,1.0,3.0,3.3,4.3,3.0,3.9,6.6
